recipient,reason,rewardToken,rewardAmount,is_match
0x5d8cca5e1b6983db986cf82784108478a02d0782,base,WETH,0.711512627,False
0xec04880883cc6ce406b125975604a36ccd83379d,base,WETH,0.705747926,False
0x310a2c115d3d45a89b59640fff859be0f54a08e2,base,WETH,0.702946248,False
0x0db87155511f190034a2b73d98f699bfebfbd85f,base,WETH,0.700182109,False
0xd9134681c2c1b77c0422a7969f6a6ff95a4552a7,base,WETH,0.694715523,True
0xde01051a9f9343252e7a74219296c4387378fa68,base,WETH,0.66155799,False
0xf48aeffdb19be3753c3185088c869a95db5a3edc,base,WETH,0.645501418,True
0xe6253ef9b67f6ecd0202ad1f90f25a13282932ff,base,WETH,0.617288961,True
0x2f881f41af772808b848c382370710dca0415bf9,base,WETH,0.611191999,True
0x7aa61e5fdef15599d2e8cba9b8900d2152e3d3e9,base,WETH,0.590911278,False
0x34b04f05ecabae366bc20ad611aa5718a5b2143b,base,WETH,0.549579626,True
0x0a421aea6ee6469deffca736e5864f92ea398336,base,WETH,0.52326649,False
0x6451878ebd7dd53250c800bba2edfe6941e81d29,base,WETH,0.506163497,False
0x6967c9a1a6e7057cefb79cbb5bc23b234ae6cf3a,base,WETH,0.496639493,True
0x77fc6e36d82010b2263b76959720e9ee2c947467,base,WETH,0.496298244,False
0xe84a061897afc2e7ff5fb7e3686717c528617487,base,WETH,0.485769417,False
0xaaa900e3b0b4564842c10a9751a2a117b60db1e4,base,WETH,0.481498232,False
0xe831c8903de820137c13681e78a5780afddf7697,base,WETH,0.450805324,False
0xe59b150ab850ce59c3be44aaa963fd5239d658f6,base,WETH,0.450141309,False
0x8c0fcf914e90ff5d7f2d02c1576bf4245fad2b7f,base,WETH,0.437025715,False
0xdd8e2dd11d38b3e27ad4d7349a61b5c2b5af427a,base,WETH,0.435618465,False
0x0d152ff760c1eae784972b31f01bcd92f5818f5c,base,WETH,0.425127771,True
0xbbe3188a1e6bfe7874f069a9164a923725b8bd68,base,WETH,0.421528864,False
0x4c406c068106375724275cbff028770c544a1333,base,WETH,0.399813188,False
0xc03125cd35631a9dbbd459b56404eba99fb606b4,base,WETH,0.399788273,True
0xe3272b584264680d3ffd44763d78fe3b07b728d7,base,WETH,0.397270761,False
0x6a704a0e46dcc67a6316644372e261e8fb6f658c,base,WETH,0.388196694,False
